url,label
https://instagram.com/safe_profile,0
https://instagram.com/safe_profile/posts/12345,0
http://instagrarn.com/malicious_profile,1
https://instagram.com/another_safe_profile,0
http://instagram.com@malicious-site.com,1
https://instagram.com/safe_profile?utm_source=email,0
http://192.168.0.1/evil_page,1
https://bit.ly/short_safe_link,0
http://bit.ly/short_malicious_link,1
https://instagram.com/safe_profile/posts/67890,0
http://fake-instagram.com/login,1
https://instagram.com/safe_profile/stories/54321,0
https://instagram.com,0
http://xn--instagram-123.com,1
https://instagram.com/safe_profile?sessionid=abcdef,0
http://instagram.security-check.com,1
https://instagram.com/safe_profile/followers,0
http://instagram.com?login_attempt=1@malicious-site.com,1
https://instagram.com/safe_profile/following,0
http://instagram.com.evil.com,1
